Folder_Name;Clean_Title;Search_Title;Platforms;Year_Folder;Path_Root;Path_Video;Untested;Metadata_Locked;Status_Flag;Summary;Genre;Developer;Publisher;Image_Link;Trailer_Link;Original_Release_Date;Remake_Release_Date;Developer / Publisher;Poster_URL;Empty
The Planet Crafter;The Planet Crafter;The Planet Crafter;Warez;;\\madhdd02\Software\GAMES\_TEMP\++\The Planet Crafter;\\madhdd02\Software\GAMES\_TEMP\++\The Planet Crafter.mp4;True;False;OK;You are sent on an hostile planet with one mission: Make it habitable for Humans. You'll have to survive, collect ressources, build your base and machines in order to heat the planet, create an atmosphere with oxygen and eventually geo-engineer an entire planet.;Simulator, Adventure;;;./images\The Planet Crafter.jpg;;2024.0;;;images\The Planet Crafter.jpg;False
1999 - Amerzone, The Explorer's Legacy (GOG);Amerzone, The Explorer's Legacy;Amerzone, The Explorer's Legacy;GOG;1999.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\1999 - Amerzone, The Explorer's Legacy (GOG);;False;False;OK;;;;;;;;;;;False
2002 - Syberia (GOG);Syberia;Syberia;GOG;2002.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2002 - Syberia (GOG);\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2002 - Syberia (GOG).mp4;False;False;OK;Syberia 3 takes you inside an enchanting, mysterious universe full of life for you to explore in 3D. Plunged into the heart of a world inhabited by a cast of interesting characters, you'll discover and experience a fabulous tale as imagined by Benoit Sokal.;Point-and-click, Puzzle, Adventure;;;./images\Syberia.jpg;;2017.0;;;images\2002 - Syberia (GOG).jpg;True
2004 - Syberia 2 (GOG);Syberia 2;Syberia 2;GOG;2004.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2004 - Syberia 2 (GOG);\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2004 - Syberia 2 (GOG).mp4;False;False;OK;An unlikely pair, young Kate Walker and old, eccentric Hans Voralberg now set off on a journey together: in search of the last of the fabled Syberian mammoths at the heart of a long and forgotten universe. The surreal quest Hans began alone several years ago will come to a final close as he and Kate face obstacles far more dangerous than ever before, testing their courage and determination.;Point-and-click, Puzzle, Adventure;;;./images\Syberia 2.jpg;;2004.0;;;images\2004 - Syberia 2 (GOG).jpg;True
2006 - Paradise;Paradise;Paradise;Warez;2006.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2006 - Paradise;;False;False;OK;Explore the secrets of the Mystic Cave and Paradise Cove.;Simulator, Adventure;;;;;;;;;False
2007 - Sinking Island;Sinking Island;Sinking Island;Warez;2007.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2007 - Sinking Island;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2007 - Sinking Island.mp4;False;False;OK;"This traditional point-and-click adventure game is a classical Who Dunnit. As inspector Jack Norm, you have to investigate which of the suspects might have a reason to want Walter Jones dead, talk to everybody, collect evidence or compare fingerprints. Your PPA (Personal Police Assistant), a kind of inventory/recording device, helps you during your inquiries.

Sinking Island can be played in two modes: in real-time mode, it's a race against time. In adventure mode, you can go through each place at your own pace.";Point-and-click, Puzzle, Adventure;;;./images\Sinking Island.jpg;;2007.0;;;images\2007 - Sinking Island.jpg;False
2017 - Syberia 3 The Complete Journey (GOG);Syberia 3 The Complete Journey;Syberia 3 The Complete Journey;GOG;2017.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2017 - Syberia 3 The Complete Journey (GOG);\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2017 - Syberia 3 The Complete Journey (GOG).mp4;False;False;OK;The limitless imagination of Benoît Sokal continues in Syberia 3, focusing on an entirely new adventure. After abandoning the island, Kate is found dying on the edge of a river by the Youkole tribe, a nomadic people migrating with their snow ostriches. Stuck in Valsembor village, together they must find a way to continue their journey in a race against their enemies and unexpected obstacles, not to mention Kate's past, which catches up with her.;Point-and-click, Puzzle, Adventure;;;./images\Syberia 3 The Complete Journey.jpg;;2017.0;;;images\2017 - Syberia 3 The Complete Journey (GOG).jpg;True
2022 - Syberia, The World Before (GOG);Syberia, The World Before;Syberia, The World Before;GOG;2022.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2022 - Syberia, The World Before (GOG);\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2022 - Syberia, The World Before (GOG).mp4;False;False;OK;Embark on a journey across continents and through time, as you piece together the puzzle of a life.;Point-and-click, Puzzle, Adventure;;;./images\Syberia The World Before.jpg;;2022.0;;;images\2022 - Syberia, The World Before (GOG).jpg;True
2025 - Amerzone, The Explorer Legacy;Amerzone, The Explorer Legacy;Amerzone, The Explorer Legacy;Warez;2025.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2025 - Amerzone, The Explorer Legacy;;False;False;OK;;;;;;;;;;;False
2025 - Syberia Remastered;Syberia Remastered;Syberia;Warez;2025.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2025 - Syberia Remastered;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BENOIT SOKAL\2025 - Syberia Remastered.mp4;False;False;OK;Syberia 3 takes you inside an enchanting, mysterious universe full of life for you to explore in 3D. Plunged into the heart of a world inhabited by a cast of interesting characters, you'll discover and experience a fabulous tale as imagined by Benoit Sokal.;Point-and-click, Puzzle, Adventure;;;./images\Syberia Remastered.jpg;;2017.0;;;images\2025 - Syberia Remastered.jpg;False
1994 - Warcraft - Orcs and Humans;Warcraft - Orcs and Humans;Warcraft Orcs and Humans;Warez;1994.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1994 - Warcraft - Orcs and Humans;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1994 - Warcraft - Orcs and Humans.mp4;False;False;OK;"Warcraft: Orcs & Humans is the first game in the Warcraft series developed by Blizzard Entertainment. The Orcish hordes are summoned through the dark portal to the peaceful human Kingdom of Azeroth. When the two races meet each other, a terrible war ensues. Only one race can dominate the land.

Players can choose to play as either the Humans or the Orcs. There are 12 scenarios for each race with mostly a single objective: destroy the enemy.

As with most RTS games of the same era, a lot of time is spent collecting resources and building structures to make/upgrade different types of units.";Real Time Strategy (RTS), Strategy;;;./images\Warcraft  Orcs and Humans.jpg;;1994.0;;;images\1994 - Warcraft - Orcs and Humans.jpg;False
1995 - Warcraft II;Warcraft II;Warcraft II;Warez;1995.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1995 - Warcraft II;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1995 - Warcraft II.mp4;False;False;OK;"Warcraft II: Beyond the Dark Portal is an expansion pack for Warcraft II: Tides of Darkness. After defeating the Orcish Horde and capturing the survivors, the Human Alliance attempts to destroy the Dark Portal. However, whilst they destroy the portal, the rift that joins the Orcs' world of Draenor to Azeroth remains.

The Alliance forces decide to enter the rift to the Orcs' home world to attempt to seal it from the other side.

At the same time, Ner'zhul - Warchief of the Shadow Moon clan, who has seized control of the Orcish hordes of Draenor following Orgrim Doomhammer's departure (and eventual defeat) to Azeroth, plans to send his forces to Azeroth to gather magical artefacts in an attempt to open rifts to other worlds.

Beyond the Dark Portal contains two 12 map campaigns; one for each side, 50 new pud's (maps) and a new tile set for the Orc home world.

It also contains 5 new hero characters for each side that actively participate in several of the new single player missions. In function, they are simply super powered versions of standard units that have different sounds.

There are no new standard units however, which many saw as a disappointment.

The map editor also isn't updated to include any of this expansion's new features, though third party programs exist that can add these features to the editor.";Real Time Strategy (RTS), Strategy;;;./images\Warcraft II.jpg;;1996.0;;;images\1995 - Warcraft II.jpg;False
1996 - Diablo;Diablo;Diablo;Warez;1996.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1996 - Diablo;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1996 - Diablo.mp4;False;False;OK;"Azmodan arises from the burning Hells, and he’s not alone.

Sanctuary trembles as Azmodan and the Lesser Evils rise from the Burning Hells, spreading corruption through shadow and deceit. Hadriel, a vengeful angel, grants humanity Divine Gifts to aid their stand against the darkness. This season also brings sweeping updates to Monster Combat and Item Journeys, redefining every encounter and how heroes forge their power.";Role-playing (RPG);;;./images\Diablo.jpg;;2025.0;;;images\1996 - Diablo.jpg;False
1998 - Starcraft (Battle.net);Starcraft;Starcraft;Warez;1998.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1998 - Starcraft (Battle.net);\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1998 - Starcraft (Battle.net).mp4;False;False;OK;In the distant future, in the darkest reaches of space, the ghosts of the past whisper your name. You are Jim Raynor, a marshal-turned-rebel on a vigilante crusade to bring down the Dominion and its nefarious leader, Arcturus Mengsk. Haunted by betrayal and remorse, some believe you may have given up the fight. But you have promises to keep… and a need for vengeance that’s long overdue.;Real Time Strategy (RTS), Strategy;;;./images\Starcraft.jpg;;2010.0;;;images\1998 - Starcraft (Battle.net).jpg;True
1998 - Warcraft Adventures, Lord of the Clans;Warcraft Adventures, Lord of the Clans;Warcraft Adventures, Lord of the Clans;Warez;1998.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1998 - Warcraft Adventures, Lord of the Clans;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\1998 - Warcraft Adventures, Lord of the Clans.mp4;False;False;OK;Warcraft Adventures: Lord of the Clans picks up where Warcraft II: Beyond the Dark Portal ended and develops many of the popular characters and locations first introduced in the Warcraft real-time strategy series. Players return to the land of Azeroth as Thrall, a young virile orc robbed of his heritage after being raised in servitude by humans. Destined to reunite and lead the disbanded orcish clans, Thrall must escape the humans' shackles and return the Horde to dominance.;Point-and-click, Puzzle, Adventure;;;./images\Warcraft Adventures Lord of the Clans.jpg;;;;;images\1998 - Warcraft Adventures, Lord of the Clans.jpg;False
2000 - Diablo II;Diablo II;Diablo II;Warez;2000.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2000 - Diablo II;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2000 - Diablo II.mp4;False;False;OK;Like its predecessor, Diablo II is an action role-playing game with dark fantasy and horror themes. The player controls a new hero attempting to stop the destruction unleashed by Diablo's return. The game's 4 acts feature a variety of locations and settings to explore and battle in, as well as an increased cast of characters to play as and interact with. Diablo II had become one of the most popular online games of all time. Major factors that contributed to Diablo II's success include what fans found to be addictive hack-and-slash gameplay and free access to Battle.net.;Role-playing (RPG), Hack and slash/Beat 'em up;;;./images\Diablo II.jpg;;2000.0;;;images\2000 - Diablo II.jpg;False
2002 - Warcraft III;Warcraft III;Warcraft III;Warez;2002.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2002 - Warcraft III;;False;False;OK;Warcraft 3: Reign of Chaos is an RTS made by Blizzard Entertainment. Take control of either the Humans, the Orcs, the Night Elves or the Undead, all with different unit types and heroes with unique abilities.Play the story driven single player campaign, go online to play default- or custom maps against people around the world or create your own maps with the map creation tool.;Real Time Strategy (RTS), Strategy;;;./images\Warcraft III.jpg;;2002.0;;;images\2002 - Warcraft III.jpg;False
2010 - Starcraft 2 (Battle.net);Starcraft 2;Starcraft 2;Warez;2010.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2010 - Starcraft 2 (Battle.net);\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2010 - Starcraft 2 (Battle.net).mp4;False;False;OK;In the distant future, in the darkest reaches of space, the ghosts of the past whisper your name. You are Jim Raynor, a marshal-turned-rebel on a vigilante crusade to bring down the Dominion and its nefarious leader, Arcturus Mengsk. Haunted by betrayal and remorse, some believe you may have given up the fight. But you have promises to keep… and a need for vengeance that’s long overdue.;Real Time Strategy (RTS), Strategy;;;./images\Starcraft 2.jpg;;2010.0;;;images\2010 - Starcraft 2 (Battle.net).jpg;True
2017 - StarCraft Remastered;StarCraft Remastered;StarCraft;Warez;2017.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2017 - StarCraft Remastered;;False;False;OK;In the distant future, in the darkest reaches of space, the ghosts of the past whisper your name. You are Jim Raynor, a marshal-turned-rebel on a vigilante crusade to bring down the Dominion and its nefarious leader, Arcturus Mengsk. Haunted by betrayal and remorse, some believe you may have given up the fight. But you have promises to keep… and a need for vengeance that’s long overdue.;Real Time Strategy (RTS), Strategy;;;./images\StarCraft Remastered.jpg;;2010.0;;;images\2017 - StarCraft Remastered.jpg;False
2020 - WarCraft III - Reforged;WarCraft III - Reforged;WarCraft III Reforged;Warez;2020.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2020 - WarCraft III - Reforged;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2020 - WarCraft III - Reforged.mp4;False;False;OK;Warcraft III: Reforged is a stunning reimagining of the revolutionary real-time strategy game that laid the foundation for Azeroth's most epic stories. It is a remake in the truest sense, featuring a thorough visual overhaul, a suite of contemporary social and matchmaking features, and more. Command the Night Elves, Undead, Orcs, and Humans as alliances shift and armies clash in this timeless real-time strategy game.;Real Time Strategy (RTS);;;./images\WarCraft III  Reforged.jpg;;2020.0;;;images\2020 - WarCraft III - Reforged.jpg;False
2021 - Blizzard Arcade Collection;Blizzard Arcade Collection;Blizzard Arcade Collection;Warez;2021.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2021 - Blizzard Arcade Collection;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2021 - Blizzard Arcade Collection.mp4;False;False;OK;"Relive the Legacy
Experience a blast from Blizzard's past! The Blizzard Arcade Collection brings three of our classic console games to modern platforms and new audiences.";Shooter, Platform, Puzzle, Racing, Arcade;;;./images\Blizzard Arcade Collection.jpg;;2021.0;;;images\2021 - Blizzard Arcade Collection.jpg;False
2021 - Diablo II Resurrected;Diablo II Resurrected;Diablo II Resurrected;Warez;2021.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2021 - Diablo II Resurrected;;False;False;OK;Diablo II: Resurrected breathes new life into Blizzard Entertainment’s acclaimed ARPG and its expansion, Diablo II: Lord of Destruction, from beginning to end. Return to fight for Sanctuary and discover the fate of the mysterious Dark Wanderer rebuilt in all-new 3D graphics, brand-new cinematics, remastered audio… and the same classic Diablo II gameplay you remember.;Role-playing (RPG), Hack and slash/Beat 'em up, Adventure;;;./images\Diablo II Resurrected.jpg;;2021.0;;;images\2021 - Diablo II Resurrected.jpg;False
2024 - Warcraft I Remastered;Warcraft I Remastered;Warcraft I;Warez;2024.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2024 - Warcraft I Remastered;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2024 - Warcraft I Remastered.mp4;False;False;OK;Warcraft I & II Bundle was a digital compilation of the two original Warcraft RTS games, Warcraft: Orcs & Humans and Warcraft II: Battle.net Edition, on the GOG.com platform.;Real Time Strategy (RTS), Strategy;;;./images\Warcraft I Remastered.jpg;;2019.0;;;images\2024 - Warcraft I Remastered.jpg;False
2024 - Warcraft II Remastered;Warcraft II Remastered;Warcraft II;Warez;2024.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2024 - Warcraft II Remastered;\\madhdd02\Software\GAMES\GAMES COMPIL\ - BLIZZARD COLLECTION\2024 - Warcraft II Remastered.mp4;False;False;OK;"Warcraft II: Beyond the Dark Portal is an expansion pack for Warcraft II: Tides of Darkness. After defeating the Orcish Horde and capturing the survivors, the Human Alliance attempts to destroy the Dark Portal. However, whilst they destroy the portal, the rift that joins the Orcs' world of Draenor to Azeroth remains.

The Alliance forces decide to enter the rift to the Orcs' home world to attempt to seal it from the other side.

At the same time, Ner'zhul - Warchief of the Shadow Moon clan, who has seized control of the Orcish hordes of Draenor following Orgrim Doomhammer's departure (and eventual defeat) to Azeroth, plans to send his forces to Azeroth to gather magical artefacts in an attempt to open rifts to other worlds.

Beyond the Dark Portal contains two 12 map campaigns; one for each side, 50 new pud's (maps) and a new tile set for the Orc home world.

It also contains 5 new hero characters for each side that actively participate in several of the new single player missions. In function, they are simply super powered versions of standard units that have different sounds.

There are no new standard units however, which many saw as a disappointment.

The map editor also isn't updated to include any of this expansion's new features, though third party programs exist that can add these features to the editor.";Real Time Strategy (RTS), Strategy;;;./images\Warcraft II Remastered.jpg;;1996.0;;;images\2024 - Warcraft II Remastered.jpg;False
1992 - Dune;Dune;Dune;Warez;1992.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1992 - Dune;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1992 - Dune.mp4;False;False;OK;"Dune II is often considered the first mainstream modern real-time strategy game and established many conventions of the genre. Even though set in Frank Herbert's famous Dune universe, the game is only loosely connected to the plot of any of the books or the films based from them. Controlling either of the three Houses, the player must fight a number of battles against the other Houses. In the early levels, the goal is simply to earn a certain number of credits, while in the later missions, all enemies must be destroyed.

The single resource in the game is the Spice, which must be collected by harvesters. The spice is converted to credits in a refinery, which are then spent to construct additional buildings and units. There are two terrain types: buildings can only be constructed on stone, while the Spice is only found on sand. However, units moving on sand attract the large sandworms of Dune, who are virtually indestructible and can swallow even large units whole. As levels progress, new and more advanced buildings and units are made available, including structures like a radar station, a repair facility or defense turrets and, for units, various ground troops, light vehicles and tanks. Each House can construct one unique special unit, and, after building a palace improvement, can unleash a unique palace effect.";Real Time Strategy (RTS), Strategy;;;./images\Dune.jpg;;1992.0;;;images\1992 - Dune.jpg;False
1992 - Kgb;Kgb;Kgb;Warez;1992.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1992 - Kgb;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1992 - Kgb.mp4;False;False;OK;KGB is an Adventure game, developed by Cryo Interactive and published by Virgin Games, which was released in 1992.;Point-and-click, Adventure;;;./images\Kgb.jpg;;1992.0;;;images\1992 - Kgb.jpg;False
1994 - Megarace;Megarace;Megarace;Warez;1994.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1994 - Megarace;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1994 - Megarace.mp4;False;False;OK;"Virtual Television has given us a chance to do the things that we can't make real in everyday life: Race through 14 great tracks in 5 different environments in a totally virtual place where you can kill each other quite easily with sidekicks or guns. In every track you will see some symbols that can make your car speed up, slow up or even blow up, like your mega-host Lance Boyle says, ""Who knows; who cares!"" Everything you see in MegaRace is virtual and no one really dies there. So have fun!";Racing;;;./images\Megarace.jpg;;1993.0;;;images\1994 - Megarace.jpg;False
1995 - Dragon Lore The Legend Begins;Dragon Lore The Legend Begins;Dragon Lore The Legend Begins;Warez;1995.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1995 - Dragon Lore The Legend Begins;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1995 - Dragon Lore The Legend Begins.mp4;False;False;OK;"An epic role-playing adventure game classic!
Award-winning game play as you travel doing battle with powerful enemies and tackle thrilling quests.
Travel across these lands and meet fantastically surreal characters who help you in your quest for truth.";Point-and-click, Role-playing (RPG), Adventure;;;./images\Dragon Lore The Legend Begins.jpg;;1994.0;;;images\1995 - Dragon Lore The Legend Begins.jpg;False
1995 - Lost Eden;Lost Eden;Lost Eden;Warez;1995.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1995 - Lost Eden;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1995 - Lost Eden.mp4;False;False;OK;"Lost Eden is an adventure game set on an eerie planet populated with dinosaurs.
Your civilisation is menaced. Armies of Tyranns, led by Moorkus Rex, are gathering around your kingdom. Soon they will swarm in, destroy everything and kill your people. However, there is a single hope. There are legends telling that several hundreds of years ago, men and dinosaurs cooperated to build 5 mighty Citadels that were almost invulnerable to the Tyranns. Today, all the Citadels but one have been destroyed.";Point-and-click, Adventure;;;./images\Lost Eden.jpg;;1995.0;;;images\1995 - Lost Eden.jpg;False
1996 - Megarace 2;Megarace 2;Megarace 2;Warez;1996.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1996 - Megarace 2;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1996 - Megarace 2.mp4;False;False;OK;"This game also features host, Lance Boyle, played by Christian Erickson. In this installment of the futuristic racing series, you are once again the ""enforcer"" and you are once again attempting to win a series of races against computer opponents, by finishing in first place, or destroying their cars, automatically disqualifying them.

Additions to this game are vast, especially concerning ways to destroy your opponents' vehicles, and ways they will destroy yours. Race tracks are more detailed and often more challenging. The cars are now also rendered in 3D.";Racing;;;./images\Megarace 2.jpg;;1996.0;;;images\1996 - Megarace 2.jpg;False
1997 - Atlantis;Atlantis;Atlantis;Warez;1997.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1997 - Atlantis;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1997 - Atlantis.mp4;False;False;OK;The appearance of the Super Nova of the Crab in the skies has awakened the light half of the force. Ten, descendant of the original Hero of Atlantis, holds within him the key to the mystery. He is bound on an adventure to Tibet, where he will gradually discover his destiny from a wizened old shaman. From quest to celestial journey, his path will be strewn with traps and enigmas that he must solve to re-establish the order and balance of the Universe set-up hundreds of years ago. If he fails then the dark half of the force will be triumphant and will bring back the times of chaos once again. Atlantis II plunges you into an adventure unlike any other. Discover beautiful settings, mysterious puzzles, unusual characters, and strange creatures.;Point-and-click, Puzzle, Adventure;;;./images\Atlantis.jpg;;1999.0;;;images\1997 - Atlantis.jpg;False
1997 - Dragon Lore II, The Heart of the Dragon Man;Dragon Lore II, The Heart of the Dragon Man;Dragon Lore II, The Heart of the Dragon Man;Warez;1997.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1997 - Dragon Lore II, The Heart of the Dragon Man;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1997 - Dragon Lore II, The Heart of the Dragon Man.mp4;False;False;OK;;Adventure;;;./images\Dragon Lore II The Heart of the Dragon Man.jpg;;1996.0;;;images\1997 - Dragon Lore II, The Heart of the Dragon Man.jpg;False
1997 - Dreams to Reality;Dreams to Reality;Dreams to Reality;Warez;1997.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1997 - Dreams to Reality;;False;False;OK;Dreams to Reality is a third-person action-adventure game. Players assume the role of protagonist Duncan, and explore surreal dream worlds while attempting to stop an evil group that seeks to control subconscious reality. From a third-person perspective, the player navigates the game world, gathering magic powers and weapons and finding friends.;Platform;;;./images\Dreams to Reality.jpg;;1997.0;;;images\1997 - Dreams to Reality.jpg;False
1999 - Atlantis 2;Atlantis 2;Atlantis 2;Warez;1999.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1999 - Atlantis 2;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1999 - Atlantis 2.mp4;False;False;OK;The appearance of the Super Nova of the Crab in the skies has awakened the light half of the force. Ten, descendant of the original Hero of Atlantis, holds within him the key to the mystery. He is bound on an adventure to Tibet, where he will gradually discover his destiny from a wizened old shaman. From quest to celestial journey, his path will be strewn with traps and enigmas that he must solve to re-establish the order and balance of the Universe set-up hundreds of years ago. If he fails then the dark half of the force will be triumphant and will bring back the times of chaos once again. Atlantis II plunges you into an adventure unlike any other. Discover beautiful settings, mysterious puzzles, unusual characters, and strange creatures.;Point-and-click, Puzzle, Adventure;;;./images\Atlantis 2.jpg;;1999.0;;;images\1999 - Atlantis 2.jpg;False
1999 - Ring - The Legend of the Nibelungen;Ring - The Legend of the Nibelungen;Ring The Legend of the Nibelungen;Warez;1999.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\1999 - Ring - The Legend of the Nibelungen;;False;False;OK;;;;;;;;;;;False
2000 - Gift;Gift;Gift;Warez;2000.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\2000 - Gift;;False;False;OK;All Little Timmy wants for Christmas is to play Grand Poo World 3, will he ultimately fulfill that wish?;Platform;;;./images\Gift.jpg;;2023.0;;;images\2000 - Gift.jpg;False
2001 - Atlantis 3;Atlantis 3;Atlantis 3;Warez;2001.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\2001 - Atlantis 3;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\2001 - Atlantis 3.mp4;False;False;OK;Step back into the land of dreams and legends. Embark on an incredible adventure and become immersed in an extraordinary tale of intrigue and mystery. Assume the role of an archaeologist as you search for the existence of a metropolis built, according to myth and legend, by the ancient Egyptians. Your quest for the mysterious secrets that have eluded many will take you on a journey through worlds of unequalled beauty. Let wisdom be your guide as you encounter challenging puzzles along your path and travel through time and spirit.Discover and explore the stunning surroundings of the vast Sahara Desert, the wondrous icy plains of Siberia, and the fascinating lands of ancient Egypt. The greatest treasure of all time lies waiting to be discovered.;Point-and-click, Platform, Puzzle, Role-playing (RPG), Strategy, Adventure;;;./images\Atlantis 3.jpg;;2001.0;;;images\2001 - Atlantis 3.jpg;False
2001 - Megarace 3;Megarace 3;Megarace 3;Warez;2001.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\2001 - Megarace 3;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CRYO\2001 - Megarace 3.mp4;False;False;OK;"Forget about car races. Now, encouraged by a cheering crowd and the wild commentaries of Lance Boyle, you will be piloting vessels specially conceived for speed and combat, in environments that change with each race. Instead of a being given a low-powered shotgun, the player is provided with a lean machine built for speed and war at their fingertips..
In a totally wild virtual universe, the hallucinogenic projection of what TV will be showing in the future, it's a unique game that re-creates both a spectacular race, and a great first person shooter. Cynical presenter Lance Boyle is at the helm of sending out brave drivers in a daredevil challenges. All the ships are modular and according to your results, you will be able to personalise them. Different modules are available to improve the engine characteristics, including the battle armour and the weapons.
Fasten your seat belts...";Racing;;;./images\Megarace 3.jpg;;2002.0;;;images\2001 - Megarace 3.jpg;False
1993 - Myst, Masterpiece Edition;Myst, Masterpiece Edition;Myst, Masterpiece Edition;Warez;1993.0;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CYAN WORLDS\1993 - Myst, Masterpiece Edition;\\madhdd02\Software\GAMES\GAMES COMPIL\ - CYAN WORLDS\1993 - Myst, Masterpiece Edition.mp4;False;False;OK;Myst: Masterpiece Edition is a remastered version of 1993's Myst. This edition features improvements over the original release, such as re-rendered imagery in 24-bit color, a remastered score, and enhanced sound effects. In the game, players travel via a special book to the island of Myst. There, players solve puzzles, and by doing so, travel to four other worlds, known as Ages, which reveal the backstory of the game's characters.;Point-and-click, Puzzle, Adventure;;;./images\Myst Masterpiece Edition.jpg;;1999.0;;;images\1993 - Myst, Masterpiece Edition.jpg;False
